bookid,title,author
1,Ender's Game,Orson Scott Card 
2,Dune,Frank Herbert 
3,1984,George Orwell 
4,Fahrenheit 451,Ray Bradbury 
5,Brave New World,Aldous Huxley 
6,A Wrinkle in Time,Madeleine L'Engle 
7,Foundation,Isaac Asimov 
8,The Hunger Games,Suzanne Collins 
9,The Giver,Lois Lowry
10,Stranger in a Strange Land,Robert A. Heinlein 
11,Slaughterhouse-Five,Kurt Vonnegut 
12,Do Androids Dream of Electric Sheep?,Philip K. Dick 
13,Neuromancer,William Gibson 
14,I Robot,Isaac Asimov 
15,Snow Crash,Neal Stephenson 
16,The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams 
17,Speaker for the Dead,Orson Scott Card 
18,The Martian Chronicles,Ray Bradbury 
19,The Stand,Stephen King 
20,The Foundation Trilogy,Isaac Asimov 
21,Hyperion,Dan Simmons 
22,Animal Farm,George Orwell 
23,The Handmaid's Tale,Margaret Atwood
24,Jurassic Park,Michael Crichton 
25,The Time Machine,H.G. Wells 
26,Starship Troopers,Robert A. Heinlein 
27,2001: A Space Odyssey,Arthur C. Clarke 
28,The Left Hand of Darkness,Ursula K. Le Guin 
29,The War of the Worlds, H.G. Wells 
30,Flowers for Algernon,Daniel Keyes 
31,Ender's Shadow,Orson Scott 
32,Cat's Cradle,Kurt Vonnegut 
33,Childhood's End,Arthur C. Clarke 
34,The Moon is a Harsh Mistress,Robert A. Heinlein 
35,A Canticle for Leibowitz,Walter M. Miller Jr. 
36,The Host,Stephenie Meyer 
37,Rendezvous with Rama,Arthur C. Clarke 
38,The Fellowship of the Ring,J.R.R. Tolkien
39,The Hobbit,J.R.R. Tolkien
40,The Two Towers,J.R.R. Tolkien
